feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
pcm_fftMag_spectralRollOff50.0_sma_de_lpc4,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_amean,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,amean,Output of arithmetic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_flatness,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_rqmean,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_meanPeakDist,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakDistStddev,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakDistStddev,Output of standard deviation of inter peak distances,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakRangeAbs,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakRangeAbs,Output of peak range (max peak value - min peak value),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakRangeRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakMeanAbs,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakMeanMeanDist,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_peakMeanRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_minRangeRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_meanRisingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_stddevRisingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,stddevRisingSlope,Output of the standard deviation of the rising slopes,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_meanFallingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_stddevFallingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,stddevFallingSlope,Output of the standard deviation of the falling slopes,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_linregc1,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,linregc1,Output of slope m (linear regression line),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_linregc2,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,linregc2,Output of offset t (linear regression line),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_linregerrQ,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,linregerrQ,Output of quadratic error between contour and linear regression line,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_qregc1,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,qregc1,Output of quadratic regression coefficient 1 (a),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_qregc2,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,qregc2,Output of quadratic regression coefficient 2 (b),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_qregc3,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,qregc3,Output of quadratic regression coefficient 3 (c = offset),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_qregerrQ,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,qregerrQ,Output of quadratic error between contour and quadratic regression line (parabola),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_centroid,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,centroid,Output of centroid of contour (this is computed as a by-product of the regression coefficients).,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff50.0_sma_de_flatness,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_posamean,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,posamean,Output of arithmetic mean of positive values only (usually you would apply this to a differential signal to measure how much the original signal is rising),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_rqmean,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,rqmean,Output of square root of quadratic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_meanPeakDist,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakDistStddev,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakDistStddev,Output of standard deviation of inter peak distances,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakRangeAbs,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakRangeAbs,Output of peak range (max peak value - min peak value),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakRangeRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakMeanAbs,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakMeanMeanDist,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_peakMeanRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_minRangeRel,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_meanRisingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_stddevRisingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,stddevRisingSlope,Output of the standard deviation of the rising slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_meanFallingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff50.0_sma_de_stddevFallingSlope,pcm_fftMag_spectralRollOff50.0_sma,Spectral,Magnitudeof spectral roll-off point 75%,stddevFallingSlope,Output of the standard deviation of the falling slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_range,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,range,Output of range (max-min),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_maxPos,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_minPos,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_quartile1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_quartile2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_quartile3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_iqr1-2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_iqr2-3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_iqr1-3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_percentile1.0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_percentile99.0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_pctlrange0-1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_stddev,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,stddev,Output of standard deviation,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_skewness,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,skewness,Output of skewness,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_kurtosis,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,kurtosis,Output of kurtosis,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_meanSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_maxSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_minSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_segLenStddev,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_upleveltime25,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_upleveltime50,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime50,Compute time where signal is above 0.50*range,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_upleveltime75,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime75,Compute time where signal is above 0.75*range,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_upleveltime90,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime90,Compute time where signal is above 0.90*range,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_risetime,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,risetime,Compute time where signal is rising,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_leftctime,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,leftctime,Compute time where signal has left curvature,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpgain,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpgain,Output of LP gain,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpc0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc0,Output of LP coefficient 0,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpc1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc1,Output of LP coefficient 1,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpc2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc2,Output of LP coefficient 2,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpc3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc3,Output of LP coefficient 3,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_lpc4,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc4,Output of LP coefficient 4,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_de_range,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,range,Output of range (max-min),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_maxPos,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_minPos,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_quartile1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile1,Output of quartile1 (0.25),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_quartile2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile2,Output of quartile2 (0.50),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_quartile3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,quartile3,Output of quartile3 (0.75),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_iqr1-2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_iqr2-3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_iqr1-3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_percentile1.0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_percentile99.0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_pctlrange0-1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,pctlrange0-1,Output of inter percentile range from 0-1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_stddev,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,stddev,Output of standard deviation,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_skewness,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,skewness,Output of skewness,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_kurtosis,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,kurtosis,Output of kurtosis,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_meanSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_maxSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_minSegLen,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_segLenStddev,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_upleveltime25,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime25,Compute time where signal is above 0.25*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_upleveltime50,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime50,Compute time where signal is above 0.50*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_upleveltime75,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime75,Compute time where signal is above 0.75*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_upleveltime90,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,upleveltime90,Compute time where signal is above 0.90*range,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_risetime,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,risetime,Compute time where signal is rising,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_leftctime,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,leftctime,Compute time where signal has left curvature,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpgain,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpgain,Output of LP gain,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpc0,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc0,Output of LP coefficient 0,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpc1,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc1,Output of LP coefficient 1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpc2,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc2,Output of LP coefficient 2,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpc3,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc3,Output of LP coefficient 3,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_de_lpc4,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
pcm_fftMag_spectralRollOff75.0_sma_amean,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,amean,Output of arithmetic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_flatness,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_rqmean,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
pcm_fftMag_spectralRollOff75.0_sma_meanPeakDist,pcm_fftMag_spectralRollOff75.0_sma,Spectral,Magnitudeof spectral roll-off point 50%.,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
